Line,Issue
A6140L108,LowConcordance
A6140L22,LowConcordance
A6140L43,LowConcordance
A6140L6,LowConcordance
A6140L89,LowConcordance
A6140L91,LowConcordance
CA1100L101,LowConcordance
CA1100L117,LowConcordance
CA1100L19,LowConcordance
CA1100L23,LowConcordance
CA1100L34,LowConcordance
CA1100L44,LowConcordance
CA1100L55,LowConcordance
CA1100L60,LowConcordance
CA1100L77,LowConcordance
CA1100L83,LowConcordance
CA2100L119,LowConcordance
CA2100L120,LowConcordance
CA2100L18,LowConcordance
CA2100L23,LowConcordance
CA2100L30,LowConcordance
CA2100L31,LowConcordance
CA2100L41,LowConcordance
CA2100L89,LowConcordance
A6140L108CeMee,LowConcordance
A6140L22CeMee,LowConcordance
A6140L43CeMee,LowConcordance
A6140L6CeMee,LowConcordance
A6140L89CeMee,LowConcordance
A6140L91CeMee,LowConcordance
CA1100L101CeMee,LowConcordance
CA1100L117CeMee,LowConcordance
CA1100L19CeMee,LowConcordance
CA1100L23CeMee,LowConcordance
CA1100L34CeMee,LowConcordance
CA1100L44CeMee,LowConcordance
CA1100L55CeMee,LowConcordance
CA1100L60CeMee,LowConcordance
CA1100L77CeMee,LowConcordance
CA1100L83CeMee,LowConcordance
CA2100L119CeMee,LowConcordance
CA2100L120CeMee,LowConcordance
CA2100L18CeMee,LowConcordance
CA2100L23CeMee,LowConcordance
CA2100L30CeMee,LowConcordance
CA2100L31CeMee,LowConcordance
CA2100L41CeMee,LowConcordance
CA2100L89CeMee,LowConcordance
CA150L45_sorted,LowConcordance
